ID,TYPE,LOG
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:14.8368590Z WARNING | encryption is off
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:14.8457240Z WARNING | Running on a system with less than 6 logical cores. Setting number of virtual cores to 1
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,ERROR,"2023-10-04T19:34:15.3697940Z ERROR   | Unable to connect to adb daemon on port: 5037
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:16.3276750Z WARNING | cannot add library /Users/runner/Library/Android/sdk/emulator/qemu/darwin-x86_64/lib64/vulkan/libvulkan.dylib: failed
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:16.4425770Z WARNING | /etc/localtime does not point to zoneinfo-compatible timezone name
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:16.4451790Z WARNING | *** No gRPC protection active, consider launching with the -grpc-use-jwt flag.***
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:16.4843590Z WARNING | Failed to process .ini file /Users/runner/.android/emu-update-last-check.ini for reading.
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:16.5715500Z WARNING | Failed to process .ini file /Users/runner/.android/emu-update-last-check.ini for reading.
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:23.8880560Z WARNING | /etc/localtime does not point to zoneinfo-compatible timezone name
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:36:33.7305660Z WARNING | /etc/localtime does not point to zoneinfo-compatible timezone name
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:36:33.7328120Z WARNING | Discarding the changed state (command-line flag).
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:08.2343090Z WARNING | encryption is off
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:08.2475480Z WARNING | Running on a system with less than 6 logical cores. Setting number of virtual cores to 1
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,ERROR,"2023-10-04T19:34:08.5072460Z ERROR   | Unable to connect to adb daemon on port: 5037
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:08.7206250Z WARNING | cannot add library /Users/runner/Library/Android/sdk/emulator/qemu/darwin-x86_64/lib64/vulkan/libvulkan.dylib: failed
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:08.8337210Z WARNING | /etc/localtime does not point to zoneinfo-compatible timezone name
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:08.8372080Z WARNING | *** No gRPC protection active, consider launching with the -grpc-use-jwt flag.***
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:08.8649600Z WARNING | Failed to process .ini file /Users/runner/.android/emu-update-last-check.ini for reading.
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:09.4516220Z WARNING | Failed to process .ini file /Users/runner/.android/emu-update-last-check.ini for reading.
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:19.4629900Z WARNING | /etc/localtime does not point to zoneinfo-compatible timezone name
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:36:15.4152760Z WARNING | /etc/localtime does not point to zoneinfo-compatible timezone name
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:36:15.4159220Z WARNING | Discarding the changed state (command-line flag).
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:43.1125823Z WARNING: An illegal reflective access operation has occurred
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:43.1127553Z WARNING: Illegal reflective access by retrofit2.Platform$Java8 (file:/home/runner/work/retrofit/retrofit/retrofit/build/classes/java/main/) to constructor java.lang.invoke.MethodHandles$Lookup(java.lang.Class,int)
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:43.1128759Z WARNING: Please consider reporting this to the maintainers of retrofit2.Platform$Java8
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:43.1130171Z WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:43.1131485Z WARNING: All illegal access operations will be denied in a future release
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:48.1158945Z WARNING: An illegal reflective access operation has occurred
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:48.1160518Z WARNING: Illegal reflective access by retrofit2.Platform$Java8 (file:/home/runner/work/retrofit/retrofit/retrofit/build/classes/java/main/) to constructor java.lang.invoke.MethodHandles$Lookup(java.lang.Class,int)
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:48.1162528Z WARNING: Please consider reporting this to the maintainers of retrofit2.Platform$Java8
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:48.1163794Z WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:48.1164482Z WARNING: All illegal access operations will be denied in a future release
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:51.7127738Z WARNING: An illegal reflective access operation has occurred
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:51.7131009Z WARNING: Illegal reflective access by retrofit2.Platform$Java8 (file:/home/runner/work/retrofit/retrofit/retrofit/build/classes/java/main/) to constructor java.lang.invoke.MethodHandles$Lookup(java.lang.Class,int)
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:51.7132893Z WARNING: Please consider reporting this to the maintainers of retrofit2.Platform$Java8
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:51.7134893Z WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:51.7136549Z WARNING: All illegal access operations will be denied in a future release
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:55.3123739Z WARNING: An illegal reflective access operation has occurred
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:55.3124670Z WARNING: Illegal reflective access by retrofit2.Platform$Java8 (file:/home/runner/work/retrofit/retrofit/retrofit/build/classes/java/main/) to constructor java.lang.invoke.MethodHandles$Lookup(java.lang.Class,int)
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:55.3125838Z WARNING: Please consider reporting this to the maintainers of retrofit2.Platform$Java8
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:55.3126982Z WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:55.3127751Z WARNING: All illegal access operations will be denied in a future release
"
