ID,TYPE,LOG
logs_square-okhttp-6925087324.zip,WARN,"2023-11-20T03:23:32.0406600Z WARNING: The option setting 'android.experimental.lint.version=8.1.0-rc01' is experimental.
"
logs_square-okhttp-6925087324.zip,INFO,"2023-11-20T03:25:22.9165420Z INFO    | Android emulator version 32.1.15.0 (build_id 10696886) (CL:N/A)
"
logs_square-okhttp-6925087324.zip,INFO,"2023-11-20T03:25:22.9167180Z INFO    | Found systemPath /Users/runner/Library/Android/sdk/system-images/android-29/default/x86/
"
logs_square-okhttp-6925087324.zip,INFO,"2023-11-20T03:25:22.9168900Z INFO    | Found systemPath /Users/runner/Library/Android/sdk/system-images/android-29/default/x86/
"
logs_square-okhttp-6925087324.zip,WARN,"2023-11-20T03:25:23.5772360Z WARNING | Running on a system with less than 6 logical cores. Setting number of virtual cores to 1
"
logs_square-okhttp-6925087324.zip,ERROR,"2023-11-20T03:25:24.0355920Z ERROR   | Unable to connect to adb daemon on port: 5037
"
logs_square-okhttp-6925087324.zip,WARN,"2023-11-20T03:25:24.0690740Z WARNING | cannot add library /Users/runner/Library/Android/sdk/emulator/qemu/darwin-x86_64/lib64/vulkan/libvulkan.dylib: failed
"
logs_square-okhttp-6925087324.zip,INFO,"2023-11-20T03:25:24.2334640Z INFO    | Crashreporting disabled, not reporting crashes.
"
logs_square-okhttp-6925087324.zip,INFO,"2023-11-20T03:25:24.2336400Z INFO    | Duplicate loglines will be removed, if you wish to see each indiviudal line launch with the -log-nofilter flag.
"
logs_square-okhttp-6925087324.zip,INFO,"2023-11-20T03:25:24.2338700Z INFO    | added library /Users/runner/Library/Android/sdk/emulator/lib64/vulkan/libvulkan.dylib
"
logs_square-okhttp-6925087324.zip,WARN,"2023-11-20T03:25:24.3017950Z WARNING | /etc/localtime does not point to zoneinfo-compatible timezone name
"
logs_square-okhttp-6925087324.zip,WARN,"2023-11-20T03:25:24.3042100Z WARNING | *** No gRPC protection active, consider launching with the -grpc-use-jwt flag.***
"
logs_square-okhttp-6925087324.zip,INFO,"2023-11-20T03:25:24.3056650Z INFO    | Started GRPC server at 127.0.0.1:8554, security: Local, auth: none
"
logs_square-okhttp-6925087324.zip,INFO,"2023-11-20T03:25:24.3058490Z INFO    | Advertising in: /Users/runner/Library/Caches/TemporaryItems/avd/running/pid_5531.ini
"
logs_square-okhttp-6925087324.zip,INFO,"2023-11-20T03:25:24.3251910Z INFO    | Setting display: 0 configuration to: 320x640, dpi: 160x160 
"
logs_square-okhttp-6925087324.zip,INFO,"2023-11-20T03:25:24.3346470Z INFO    | Cold boot: requested by the user
"
logs_square-okhttp-6925087324.zip,WARN,"2023-11-20T03:25:24.3354570Z WARNING | Failed to process .ini file /Users/runner/.android/emu-update-last-check.ini for reading.
"
logs_square-okhttp-6925087324.zip,INFO,"2023-11-20T03:25:24.4413510Z INFO    | Your emulator is out of date, please update by launching Android Studio:
"
logs_square-okhttp-6925087324.zip,WARN,"2023-11-20T03:25:24.4420030Z WARNING | Failed to process .ini file /Users/runner/.android/emu-update-last-check.ini for reading.
"
logs_square-okhttp-6925087324.zip,WARN,"2023-11-20T03:25:49.9394140Z WARNING | /etc/localtime does not point to zoneinfo-compatible timezone name
"
logs_square-okhttp-6925087324.zip,INFO,"2023-11-20T03:27:06.1818780Z INFO    | Boot completed in 102965 ms
"
logs_square-okhttp-6925087324.zip,INFO,"2023-11-20T03:27:06.1820120Z INFO    | Increasing screen off timeout, logcat buffer size to 2M.
"
logs_square-okhttp-6925087324.zip,INFO,"2023-11-20T03:27:06.1824580Z INFO    | Revoking microphone permissions for Google App.
"
